Packages,Appearances,Different Files
scala.collection,1,1
scala,1,1
org.slf4j.spi,1,1
org.slf4j.helpers,3,2
org.slf4j,429,3
org.rocksdb.util,1,1
org.rocksdb,89,40
org.reflections.vfs.Vfs,3,3
org.reflections.vfs,1,1
org.reflections.util,2,2
org.reflections.scanners,1,1
org.reflections,3,3
org.powermock.reflect,9,1
org.powermock.modules.junit4,23,1
org.powermock.core.classloader.annotations,31,2
org.powermock.api.easymock.annotation,22,2
org.powermock.api.easymock.PowerMock,6,2
org.powermock.api.easymock,22,1
org.openjdk.jmh.runner.options,2,2
org.openjdk.jmh.runner,2,2
org.openjdk.jmh.infra,1,1
org.openjdk.jmh.annotations,34,13
org.mockito.stubbing,1,1
org.mockito.Mockito,48,10
org.mockito.ArgumentMatchers,23,7
org.mockito.AdditionalMatchers,1,1
org.mockito,3,2
org.junit.runners.Parameterized,5,2
org.junit.runners,15,1
org.junit.runner,64,1
org.junit.rules,36,4
org.junit.experimental.categories,32,1
org.junit.Assume,3,1
org.junit.Assert,1178,11
org.junit,901,9
org.ietf.jgss,6,6
org.hamcrest.core.IsSame,1,1
org.hamcrest.core.IsNull,1,1
org.hamcrest.core.IsNot,4,1
org.hamcrest.core.IsIterableContaining,2,2
org.hamcrest.core.IsInstanceOf,12,1
org.hamcrest.core.IsEqual,15,1
org.hamcrest.core.Is,8,1
org.hamcrest.core,2,2
org.hamcrest.Matchers,24,6
org.hamcrest.MatcherAssert,130,1
org.hamcrest.CoreMatchers,130,12
org.hamcrest,18,5
org.glassfish.jersey.servlet,2,1
org.glassfish.jersey.server,4,2
org.eclipse.jetty.util.ssl,3,1
org.eclipse.jetty.servlets,1,1
org.eclipse.jetty.servlet,5,3
org.eclipse.jetty.server.handler,8,5
org.eclipse.jetty.server,8,4
org.eclipse.jetty.http,3,3
org.eclipse.jetty.client.util,1,1
org.eclipse.jetty.client.api,2,2
org.eclipse.jetty.client,1,1
org.easymock.EasyMock,146,18
org.easymock,173,10
org.bouncycastle.operator.bc,1,1
org.bouncycastle.operator,3,3
org.bouncycastle.jce.provider,1,1
org.bouncycastle.crypto.util,1,1
org.bouncycastle.crypto.params,1,1
org.bouncycastle.cert.jcajce,1,1
org.bouncycastle.cert,2,2
org.bouncycastle.asn1.x509,5,5
org.bouncycastle.asn1.x500,1,1
org.bouncycastle.asn1,1,1
org.apache.maven.artifact.versioning,1,1
org.apache.log4j.spi,3,1
org.apache.log4j.helpers,2,1
org.apache.log4j,8,4
org.apache.kafka.trogdor.workload.TransactionGenerator,1,1
org.apache.kafka.trogdor.workload,4,4
org.apache.kafka.trogdor.task,75,7
org.apache.kafka.trogdor.rest.JsonRestServer,2,1
org.apache.kafka.trogdor.rest,130,29
org.apache.kafka.trogdor.fault.Kibosh,4,3
org.apache.kafka.trogdor.fault,7,4
org.apache.kafka.trogdor.coordinator,6,3
org.apache.kafka.trogdor.common.StringFormatter,6,2
org.apache.kafka.trogdor.common.ExpectedTasks,2,1
org.apache.kafka.trogdor.common,76,11
org.apache.kafka.trogdor.basic,9,3
org.apache.kafka.trogdor.agent,8,3
org.apache.kafka.tools,3,1
org.apache.kafka.test.TestUtils,11,4
org.apache.kafka.test.TestSslUtils,1,1
org.apache.kafka.test.StreamsTestUtils,23,6
org.apache.kafka.test.MockStateRestoreListener,9,3
